id	filename	md5	size	state
051e09a5-1e37-4778-b9aa-87b4377935dd	f832affe-b7e5-45b0-bd2d-823cf6f48625.FPKM-UQ.txt.gz	fb18080ec86858ee4d5d64d6e5101082	517925	validated
07037502-41e5-4186-98a1-4ba2f7701f68	f3ef32dc-5c02-414d-af11-92064cc4dc1d.FPKM-UQ.txt.gz	bac1cd70b12789ec5a0a49b14e4ae00b	497678	validated
0ba1429f-9af7-40ef-9f96-5947bc248d13	d90b08ef-512b-41b3-a329-45b0fd741587.FPKM-UQ.txt.gz	2eed432259e977bad55b2ad0a6f8f794	514172	validated
1142452c-90af-48dd-be65-7c1eb08e2e5e	f40d273f-5343-4e57-995b-6adcfdc7c7d3.FPKM-UQ.txt.gz	fe03096612d7c571fedfeb1495647b80	525150	validated
120c8367-3ae9-4d9b-9ba2-e4e285ab1081	0e114891-8315-49a0-92a6-171f233f7638.FPKM-UQ.txt.gz	e8e0069abb29c94ceca6b9705a219fdc	533404	validated
13e48377-4e91-4663-aa5b-28cd6ed5dd7e	063a2ac5-3574-47b1-b42e-9d4817d7abc9.FPKM-UQ.txt.gz	ec72e003a6ad76d13cf615a619f943ae	494607	validated
15899b45-5ce0-4d6e-9873-10dd800d84d9	8ec3195f-156f-4b0a-bcdf-c27ff378c0be.FPKM-UQ.txt.gz	4ff2f10eabee8939ad31d6ae57b0654f	498276	validated
16b5facf-43b3-40bc-aace-25b27c1035dd	d2713482-d0fb-495e-bb01-307369ef4ec7.FPKM-UQ.txt.gz	7cd45aa0808a0d0c55e7e16f7b0dd774	500468	validated
1810bb33-13e4-4d11-a650-024de5dc50ef	77035676-a6bf-4e20-ad0e-9abec766ab0a.FPKM-UQ.txt.gz	465664f97198281fc6d6ed4a9b40a866	525231	validated
184cc67b-5dba-45d6-8d03-baaa77cb0fea	a1749cd8-a737-48c6-ac4c-e2d6c2f8b23f.FPKM-UQ.txt.gz	0641018216372f97701ce31920db6c78	490375	validated
1911459a-3b08-4436-a2bb-d7642c6ee6b7	78bab4b6-28ea-4933-b488-295f8ff3ce58.FPKM-UQ.txt.gz	42c617439e52c94989a427f84124c198	507976	validated
1abb4610-b226-4e8d-8a80-d36ff2bb6083	a566f407-882f-461b-b029-6d8c1196daec.FPKM-UQ.txt.gz	923f70be0db36b30bb1b36ee6bab5d70	476627	validated
1c2d1082-694b-4d1e-b61d-72e95b5e7d9a	5eb93550-2972-45ed-85a1-c37353f03544.FPKM-UQ.txt.gz	815c6f6ce4e8c05cd6db0d7f183cc3fb	533720	validated
1c663354-1631-4818-9490-8c1d462aa438	9fa9c576-3593-43e4-b0c6-102fcb9c0774.FPKM-UQ.txt.gz	7f3b0834466917cfc1405e4f1b9c2f37	518184	validated
